BS,txt,UR,SR,SW,LR,OP,Image,,Amount,Noise 30,Noise 10,Time (no op),Time,,Amount_important,Time (bm),N10 nearby,N10 far
5,50,2,4,50,3,0,0,,2476,1706,0,3813,4634,,2777,12,0,0
5,50,2,4,50,3,0,1,,3072,24,6,3935,4031,,2784,12,6,0
5,50,2,4,50,3,0,2,,3068,1185,478,4101,4273,,2780,12,0,478
5,50,2,4,50,3,0,3,,3072,0,0,3974,4068,,2784,12,0,0
5,50,2,4,50,3,0,4,,3072,446,318,4119,4225,,2784,12,1,317
5,50,2,4,50,3,2,0,,2398,1400,0,3813,5459,,2775,12,0,0
5,50,2,4,50,3,2,1,,3072,24,6,3935,5506,,2784,12,5,1
5,50,2,4,50,3,2,2,,3060,1259,502,4101,5494,,2772,12,0,502
5,50,2,4,50,3,2,3,,3072,1,0,3974,5340,,2784,12,0,0
5,50,2,4,50,3,2,4,,3072,530,318,4119,5439,,2784,12,1,317
5,50,2,4,50,8,0,0,,2477,1704,0,3744,3922,,2777,12,0,0
5,50,2,4,50,8,0,1,,3072,24,6,3756,3850,,2784,12,6,0
5,50,2,4,50,8,0,2,,3068,1185,478,3941,4048,,2780,12,0,478
5,50,2,4,50,8,0,3,,3072,0,0,4007,4102,,2784,12,0,0
5,50,2,4,50,8,0,4,,3072,446,318,4021,4121,,2784,12,1,317
5,50,2,4,50,8,2,0,,2399,1399,0,3744,5251,,2775,12,0,0
5,50,2,4,50,8,2,1,,3072,24,6,3756,5239,,2784,12,5,1
5,50,2,4,50,8,2,2,,3062,1259,502,3941,5308,,2774,12,0,502
5,50,2,4,50,8,2,3,,3072,1,0,4007,5405,,2784,12,0,0
5,50,2,4,50,8,2,4,,3072,530,318,4021,5345,,2784,12,1,317
5,50,2,4,80,3,0,0,,2466,1713,0,3509,3603,,2777,12,0,0
5,50,2,4,80,3,0,1,,3072,24,6,3732,3824,,2784,12,6,0
5,50,2,4,80,3,0,2,,3048,1186,481,4067,4160,,2763,12,0,481
5,50,2,4,80,3,0,3,,3061,7,0,4011,4104,,2784,12,0,0
5,50,2,4,80,3,0,4,,3072,446,318,4008,4102,,2784,12,1,317
5,50,2,4,80,3,2,0,,2389,1406,0,3509,5011,,2775,12,0,0
5,50,2,4,80,3,2,1,,3072,24,6,3732,5224,,2784,12,5,1
5,50,2,4,80,3,2,2,,3043,1260,505,4067,5410,,2758,12,0,505
5,50,2,4,80,3,2,3,,3054,13,0,4011,5355,,2784,12,0,0
5,50,2,4,80,3,2,4,,3072,530,318,4008,5294,,2784,12,1,317
5,50,2,4,80,8,0,0,,2467,1711,0,3535,3628,,2777,12,0,0
5,50,2,4,80,8,0,1,,3072,24,6,3777,3871,,2784,12,6,0
5,50,2,4,80,8,0,2,,3048,1185,481,3889,3983,,2763,12,0,481
5,50,2,4,80,8,0,3,,3061,7,0,3957,4051,,2784,12,0,0
5,50,2,4,80,8,0,4,,3072,446,318,3986,4080,,2784,12,1,317
5,50,2,4,80,8,2,0,,2390,1405,0,3535,5070,,2775,12,0,0
5,50,2,4,80,8,2,1,,3072,24,6,3777,5243,,2784,12,5,1
5,50,2,4,80,8,2,2,,3043,1259,505,3889,5269,,2758,12,0,505
5,50,2,4,80,8,2,3,,3054,13,0,3957,5308,,2784,12,0,0
5,50,2,4,80,8,2,4,,3072,530,318,3986,5283,,2784,12,1,317
5,50,2,9,50,3,0,0,,2706,1857,0,3364,3457,,2784,12,0,0
5,50,2,9,50,3,0,1,,3072,50,7,3653,3746,,2784,12,7,0
5,50,2,9,50,3,0,2,,3072,1921,1797,3847,3939,,2784,12,1793,4
5,50,2,9,50,3,0,3,,3072,757,701,3945,4039,,2784,12,701,0
5,50,2,9,50,3,0,4,,3072,357,274,3964,4059,,2784,12,6,268
5,50,2,9,50,3,2,0,,2576,1468,0,3364,4942,,2784,12,0,0
5,50,2,9,50,3,2,1,,3072,36,7,3653,5190,,2784,12,6,1
5,50,2,9,50,3,2,2,,3072,1930,1799,3847,5293,,2784,12,1789,10
5,50,2,9,50,3,2,3,,3072,656,649,3945,5410,,2784,12,649,0
5,50,2,9,50,3,2,4,,3072,410,318,3964,5352,,2784,12,1,317
5,50,2,9,50,8,0,0,,2707,1859,0,3325,3418,,2784,12,0,0
5,50,2,9,50,8,0,1,,3072,50,7,3627,3721,,2784,12,7,0
5,50,2,9,50,8,0,2,,3072,1920,1797,3852,3949,,2784,12,1793,4
5,50,2,9,50,8,0,3,,3072,757,701,3893,4001,,2784,12,701,0
5,50,2,9,50,8,0,4,,3072,319,264,3939,4033,,2784,12,6,258
5,50,2,9,50,8,2,0,,2577,1474,0,3325,4859,,2784,12,0,0
5,50,2,9,50,8,2,1,,3072,35,6,3627,5170,,2784,12,6,0
5,50,2,9,50,8,2,2,,3072,1930,1799,3852,5302,,2784,12,1789,10
5,50,2,9,50,8,2,3,,3072,656,649,3893,5364,,2784,12,649,0
5,50,2,9,50,8,2,4,,3072,396,318,3939,5339,,2784,12,1,317
5,50,2,9,80,3,0,0,,2706,1857,0,3362,3453,,2784,12,0,0
5,50,2,9,80,3,0,1,,3072,50,7,3628,3720,,2784,12,7,0
5,50,2,9,80,3,0,2,,3067,1085,472,3813,3906,,2780,12,0,472
5,50,2,9,80,3,0,3,,3067,58,0,3883,3976,,2784,12,0,0
5,50,2,9,80,3,0,4,,3072,361,299,3967,4062,,2784,12,1,298
